title,gender,student,year,semester,size,score
Associate Professor,m,Graduate,2002,fall,16,16.5
Associate Professor,m,Graduate,2002,fall,17,17.5
Associate Professor,m,Graduate,2002,fall,17,16.752
Associate Professor,m,MBA,2004,fall,15,14.132
Associate Professor,m,MBA,2002,fall,16,14.132
Associate Professor,m,Graduate,2002,fall,15,18.932
Associate Professor,m,Graduate,2002,fall,15,13.6
Associate Professor,m,Graduate,2004,fall,15,19.468
Associate Professor,m,MBA,2002,fall,15,14
Associate Professor,m,MBA,2002,fall,15,18.572
Associate Professor,m,MBA,2002,fall,15,17.144
Associate Professor,m,Graduate,2002,fall,15,16
Associate Professor,m,Graduate,2002,fall,13,16.308
Associate Professor,m,Graduate,2004,fall,13,16.668
Associate Professor,m,Graduate,2002,fall,12,20
Associate Professor,m,Graduate,2003,fall,12,18.908
Associate Professor,m,Graduate,2002,fall,12,16.364
Associate Professor,m,Graduate,2002,fall,11,19.2
Associate Professor,m,Graduate,2002,fall,9,17.332
Associate Professor,m,Graduate,2004,fall,9,19.112
Associate Professor,m,Graduate,2003,fall,8,18
Associate Professor,m,Graduate,2002,fall,7,17.144
Associate Professor,m,Graduate,2002,fall,6,19.2
AssistantProfessor,f,Undergraduate,2002,fall,77,17.196
AssistantProfessor,f,MBA,2002,fall,74,16.54
AssistantProfessor,f,Graduate,2003,fall,69,18.94
AssistantProfessor,f,Undergraduate,2003,fall,65,17.048
AssistantProfessor,f,Undergraduate,2004,fall,63,16.888
AssistantProfessor,f,MBA,2004,fall,55,10.224
AssistantProfessor,f,MBA,2003,fall,53,16.692
AssistantProfessor,f,Undergraduate,2002,fall,51,16.24
AssistantProfessor,f,Undergraduate,2002,fall,47,17.044
AssistantProfessor,f,Graduate,2002,fall,45,16.976
AssistantProfessor,f,Graduate,2004,fall,42,18.476
AssistantProfessor,f,Undergraduate,2004,fall,39,15.156
AssistantProfessor,f,Undergraduate,2004,fall,35,16.456
AssistantProfessor,f,Undergraduate,2004,fall,34,17.764
AssistantProfessor,f,MBA,2003,fall,33,13.576
AssistantProfessor,f,MBA,2002,fall,30,15.312
AssistantProfessor,f,Undergraduate,2003,fall,30,17.516
AssistantProfessor,f,Undergraduate,2004,fall,26,16.616
AssistantProfessor,f,Undergraduate,2003,fall,27,16
AssistantProfessor,m,MBA,2002,fall,81,17.3
AssistantProfessor,m,Undergraduate,2003,fall,81,14.8
AssistantProfessor,m,MBA,2002,fall,79,18.076
AssistantProfessor,m,Undergraduate,2003,fall,74,13.04
AssistantProfessor,m,Undergraduate,2002,fall,67,14.608
AssistantProfessor,m,MBA,2003,fall,63,13.904
AssistantProfessor,m,MBA,2002,fall,59,17.084
AssistantProfessor,m,Undergraduate,2004,fall,58,13.864
AssistantProfessor,m,MBA,2002,fall,51,18.432
AssistantProfessor,m,MBA,2003,fall,50,14.204
AssistantProfessor,m,MBA,2004,fall,46,14.784
AssistantProfessor,m,MBA,2003,fall,37,17.728
AssistantProfessor,m,MBA,2002,fall,37,12.332
AssistantProfessor,m,Undergraduate,2002,fall,35,18.236
AssistantProfessor,m,Undergraduate,2004,fall,31,16.388
AssistantProfessor,m,MBA,2004,fall,31,14.268
AssistantProfessor,m,Undergraduate,2004,fall,29,14.208
AssistantProfessor,m,MBA,2004,fall,28,18.428
AssistantProfessor,m,Undergraduate,2003,fall,29,18.572
AssistantProfessor,m,Graduate,2004,fall,29,19.284
AssistantProfessor,m,Graduate,2004,fall,29,17.716
AssistantProfessor,m,Graduate,2002,fall,27,18.308
AssistantProfessor,m,MBA,2002,fall,22,14.856
AssistantProfessor,m,Graduate,2003,fall,21,17.716
AssistantProfessor,m,Graduate,2002,fall,17,16.252
AssistantProfessor,m,Graduate,2002,fall,17,15.5
AssistantProfessor,m,MBA,2003,fall,15,14.4
AssistantProfessor,m,Graduate,2004,fall,15,18.856
AssistantProfessor,m,Graduate,2003,fall,14,17.54
AssistantProfessor,m,Graduate,2002,fall,13,13.848
AssistantProfessor,m,Graduate,2003,fall,14,19.692
AssistantProfessor,m,MBA,2002,fall,12,17.82
AssistantProfessor,m,MBA,2004,fall,12,19.272
AssistantProfessor,m,Undergraduate,2004,fall,11,17.82
AssistantProfessor,m,Graduate,2002,fall,11,16.728
AssistantProfessor,m,Graduate,2003,fall,11,18
AssistantProfessor,m,Undergraduate,2003,fall,10,19.112
AssistantProfessor,m,Graduate,2003,fall,8,18.5
AssistantProfessor,m,Graduate,2004,fall,7,15.428
 Professor,f,MBA,2002,fall,102,17.568
 Professor,f,Graduate,2002,fall,73,19.5
 Professor,f,MBA,2002,fall,70,12.8
 Professor,f,Undergraduate,2002,fall,64,17
 Professor,f,MBA,2003,fall,54,15.556
 Professor,f,MBA,2004,fall,49,17.632
 Professor,f,Undergraduate,2003,fall,49,18.776
 Professor,f,MBA,2002,fall,45,16.18
 Professor,f,Undergraduate,2002,fall,41,16.976
 Professor,f,MBA,2002,fall,40,16.8
 Professor,f,Undergraduate,2004,fall,41,18
 Professor,f,Graduate,2004,fall,36,18.668
 Professor,f,Graduate,2002,fall,35,18.284
 Professor,f,Graduate,2002,fall,35,18.352
 Professor,f,Graduate,2003,fall,34,19.528
 Professor,f,Undergraduate,2003,fall,28,17.716
 Professor,f,Graduate,2004,fall,13,19.668
 Professor,f,Graduate,2002,fall,9,18.668
 Professor,f,Graduate,2003,fall,7,18.856
 Professor,m,MBA,2002,fall,136,17.028
 Professor,m,MBA,2003,fall,135,18.104
 Professor,m,MBA,2003,fall,131,18.46
 Professor,m,Graduate,2004,fall,125,18.208
 Professor,m,MBA,2003,fall,106,19.696
 Professor,m,MBA,2004,fall,101,16.44
 Professor,m,MBA,2004,fall,86,19.304
 Professor,m,MBA,2002,fall,84,16.904
 Professor,m,Graduate,2004,fall,83,17.492
 Professor,m,MBA,2004,fall,82,18.096
 Professor,m,Graduate,2002,fall,82,10.88
 Professor,m,Graduate,2004,fall,82,16.636
 Professor,m,Undergraduate,2002,fall,81,17.4
 Professor,m,Graduate,2002,fall,80,17.112
 Professor,m,MBA,2003,fall,78,17.076
 Professor,m,MBA,2002,fall,76,17.172
 Professor,m,Graduate,2003,fall,76,16.908
 Professor,m,Undergraduate,2002,fall,72,15
 Professor,m,MBA,2004,fall,71,15.492
 Professor,m,MBA,2002,fall,68,19.176
 Professor,m,Graduate,2003,fall,68,17.296
 Professor,m,MBA,2002,fall,67,18.028
 Professor,m,MBA,2002,fall,67,16.12
 Professor,m,MBA,2003,fall,67,18.788
 Professor,m,MBA,2003,fall,65,13.624
 Professor,m,Undergraduate,2002,fall,60,17.732
 Professor,m,MBA,2002,fall,58,13.864
 Professor,m,Undergraduate,2002,fall,58,18.276
 Professor,m,Undergraduate,2002,fall,56,17.572
 Professor,m,Undergraduate,2002,fall,56,16.944
 Professor,m,MBA,2002,fall,54,15.184
 Professor,m,MBA,2002,fall,53,14.568
 Professor,m,MBA,2004,fall,53,15.924
 Professor,m,MBA,2002,fall,50,17.92
 Professor,m,MBA,2002,fall,51,16.88
 Professor,m,MBA,2004,fall,51,17.68
 Professor,m,MBA,2002,fall,47,18.98
 Professor,m,MBA,2002,fall,48,18.128
 Professor,m,Undergraduate,2004,fall,48,18.892
 Professor,m,MBA,2004,fall,46,19.044
 Professor,m,MBA,2002,fall,45,18.756
 Professor,m,Graduate,2002,fall,45,16.888
 Professor,m,Graduate,2002,fall,45,18.456
 Professor,m,Graduate,2002,fall,44,15.44
 Professor,m,Graduate,2002,fall,44,18.512
 Professor,m,Graduate,2002,fall,42,15.62
 Professor,m,MBA,2002,fall,41,16.196
 Professor,m,MBA,2002,spring,42,15.708
 Professor,m,Graduate,2002,spring,42,18.244
 Professor,m,MBA,2004,spring,40,18.3
 Professor,m,Undergraduate,2004,spring,40,15.6
 Professor,m,Graduate,2002,spring,40,18.2
 Professor,m,Graduate,2003,spring,41,16.2
 Professor,m,Undergraduate,2004,spring,39,19.488
 Professor,m,MBA,2004,spring,38,18.596
 Professor,m,Undergraduate,2003,spring,38,17.836
 Professor,m,MBA,2002,spring,36,18.516
 Professor,m,Undergraduate,2002,spring,36,17.6
 Professor,m,MBA,2002,spring,34,18.352
 Professor,m,Undergraduate,2004,spring,35,18.588
 Professor,m,Graduate,2004,spring,35,18.116
 Professor,m,Graduate,2004,spring,34,19.032
 Professor,m,MBA,2004,spring,32,18.624
 Professor,m,Graduate,2002,spring,32,17.252
 Professor,m,Graduate,2002,spring,33,19.376
 Professor,m,Graduate,2002,spring,32,18.064
 Professor,m,MBA,2002,spring,31,15.468
 Professor,m,Graduate,2004,spring,31,19.468
 Professor,m,MBA,2003,spring,28,14.572
 Professor,m,Graduate,2002,spring,28,16.144
 Professor,m,Graduate,2002,spring,29,17.144
 Professor,m,Graduate,2002,spring,29,19.572
 Professor,m,MBA,2002,spring,28,15.26
 Professor,m,Graduate,2002,spring,28,15.26
 Professor,m,Graduate,2004,spring,27,16.888
 Professor,m,MBA,2002,spring,26,16.768
 Professor,m,Graduate,2002,spring,27,16.924
 Professor,m,Graduate,2004,spring,27,16.152
 Professor,m,Graduate,2002,spring,26,17.92
 Professor,m,MBA,2003,spring,25,16.332
 Professor,m,Graduate,2003,spring,24,17.332
 Professor,m,MBA,2003,spring,23,18.608
 Professor,m,Graduate,2002,spring,24,19.132
 Professor,m,MBA,2003,spring,22,18.364
 Professor,m,MBA,2004,spring,23,19.272
 Professor,m,Graduate,2002,spring,22,18.908
 Professor,m,Graduate,2003,spring,23,16.544
 Professor,m,Graduate,2003,spring,21,18.668
 Professor,m,MBA,2002,spring,21,18.4
 Professor,m,Graduate,2002,spring,20,16.8
 Professor,m,Graduate,2002,spring,20,15.6
 Professor,m,Graduate,2002,spring,19,18.104
 Professor,m,Graduate,2002,spring,18,12.224
 Professor,m,Graduate,2002,spring,19,18.668
 Professor,m,Graduate,2002,spring,19,19.112
 Professor,m,MBA,2004,spring,17,15.764
 Professor,m,MBA,2003,spring,18,18.824
 Professor,m,Graduate,2003,spring,17,14.352
 Professor,m,Graduate,2004,spring,17,17.176
 Professor,m,Graduate,2003,spring,16,18.752
 Professor,m,Graduate,2003,spring,17,19.5
 Professor,m,Graduate,2002,spring,16,16.532
 Professor,m,Graduate,2004,spring,15,16.8
 Professor,m,Graduate,2003,spring,16,19.2
 Professor,m,Graduate,2002,spring,15,18.932
 Professor,m,Graduate,2002,spring,16,18.668
 Professor,m,MBA,2002,spring,15,15.428
 Professor,m,Graduate,2004,spring,15,19.428
 Professor,m,MBA,2002,spring,14,16.616
 Professor,m,Graduate,2004,spring,13,19.384
 Professor,m,Graduate,2002,spring,13,17.848
 Professor,m,Graduate,2002,spring,12,15.668
 Professor,m,Graduate,2004,spring,13,18.332
 Professor,m,Graduate,2002,spring,13,18
 Professor,m,Graduate,2002,spring,12,15.668
 Professor,m,Graduate,2003,spring,12,18.908
 Professor,m,MBA,2002,spring,10,18
 Professor,m,Graduate,2004,spring,10,20
 Professor,m,Graduate,2002,spring,11,16.4
 Professor,m,Graduate,2002,spring,11,19.2
 Professor,m,Graduate,2002,spring,10,18.4
 Professor,m,Graduate,2002,spring,11,20
 Professor,m,Graduate,2004,spring,11,18.8
 Professor,m,MBA,2004,spring,10,20
 Professor,m,Graduate,2002,spring,9,16.888
 Professor,m,Graduate,2002,spring,9,19.556
 Professor,m,Graduate,2003,spring,7,19.428
 Professor,m,Graduate,2002,spring,7,19.428
 Professor,m,Graduate,2002,spring,7,17.332
 Professor,m,Graduate,2004,spring,5,20
 Professor,m,Graduate,2002,spring,5,19
 Professor,m,Graduate,2002,spring,4,20
